entry_time,exit_time,type,entry_price,exit_price,sl,tp,lot_size,pips,profit,balance,reason,bars_held,conditions,has_order_block
2025-02-24 00:35:00,2025-02-24 00:45:00,SELL,1.04918,1.0498817857142857,1.0498817857142857,1.047074642857143,1.62,-70.17857142856964,-113.68928571428282,11243.900678571406,Stop Loss,2,3,False
2025-02-24 00:50:00,2025-02-24 08:15:00,BUY,1.05036,1.0480209299999999,1.0480209299999999,1.0573772100000003,0.48,-233.90700000001095,-112.27536000000525,11131.625318571401,Stop Loss,89,2,True
2025-02-24 08:15:00,2025-02-25 13:30:00,SELL,1.04721,1.0502391899999999,1.0502391899999999,1.0381224300000003,0.37,-302.9189999999904,-112.08002999999644,11019.545288571404,Stop Loss,351,2,True
2025-02-25 13:50:00,2025-02-25 15:10:00,SELL,1.05026,1.0509425000000001,1.0509425000000001,1.0482124999999995,1.61,-68.25000000001413,-109.88250000002274,10909.66278857138,Stop Loss,16,2,False
2025-02-25 15:30:00,2025-02-25 17:00:00,SELL,1.05126,1.049112857142857,1.0519757142857145,1.049112857142857,1.52,214.7142857143125,326.365714285755,11236.028502857136,Take Profit,18,2,False
2025-02-25 18:40:00,2025-02-26 05:35:00,BUY,1.0514000000000001,1.0492497,1.0492497,1.0578509000000003,0.52,-215.03000000000492,-111.81560000000256,11124.212902857134,Stop Loss,131,2,True
2025-02-26 05:35:00,2025-02-26 17:00:00,SELL,1.04919,1.0515605099999998,1.0515605099999998,1.0420784700000008,0.47000000000000003,-237.05099999997702,-111.4139699999892,11012.798932857146,Stop Loss,137,2,True
2025-02-26 17:15:00,2025-02-26 17:25:00,SELL,1.05125,1.0519903571428573,1.0519903571428573,1.0490289285714283,1.49,-74.03571428572508,-110.31321428573037,10902.485718571415,Stop Loss,2,2,False
2025-02-26 17:35:00,2025-02-27 16:00:00,SELL,1.04939,1.0408964900000004,1.05222117,1.0408964900000004,0.39,849.3509999999649,331.2468899999863,11233.732608571401,Take Profit,269,3,True
2025-02-27 16:10:00,2025-03-03 09:55:00,SELL,1.04059,1.04253149,1.04253149,1.0347655299999996,0.58,-194.1490000000101,-112.60642000000584,11121.126188571396,Stop Loss,500,2,True
2025-03-03 09:55:00,2025-03-04 08:25:00,BUY,1.0427,1.0515523699999996,1.03974921,1.0515523699999996,0.38,885.2369999999609,336.3900599999851,11457.51624857138,Take Profit,270,2,True
2025-03-04 09:50:00,2025-03-04 11:50:00,SELL,1.0514000000000001,1.05328223,1.05328223,1.0457533100000005,0.61,-188.22299999998737,-114.8160299999923,11342.700218571388,Stop Loss,24,3,True
2025-03-04 12:05:00,2025-03-04 12:30:00,SELL,1.05405,1.0550710714285714,1.0550710714285714,1.0509867857142856,1.11,-102.10714285714405,-113.33892857142992,11229.361289999959,Stop Loss,5,2,False
2025-03-04 12:35:00,2025-03-04 12:50:00,SELL,1.05445,1.0555235714285716,1.0555235714285716,1.0512292857142858,1.05,-107.35714285714513,-112.7250000000024,11116.636289999957,Stop Loss,3,2,False
2025-03-04 13:15:00,2025-03-04 15:00:00,SELL,1.05478,1.0518485714285717,1.0557571428571428,1.0518485714285717,1.1400000000000001,293.14285714283625,334.18285714283337,11450.81914714279,Take Profit,21,2,False
2025-03-04 15:05:00,2025-03-04 15:15:00,BUY,1.05234,1.0512867857142858,1.0512867857142858,1.0554996428571428,1.09,-105.32142857142544,-114.80035714285374,11336.018789999936,Stop Loss,2,2,False
2025-03-04 15:15:00,2025-03-04 16:20:00,SELL,1.05059,1.0538227699999998,1.0538227699999998,1.0408916900000003,0.35000000000000003,-323.27699999998845,-113.14694999999597,11222.87183999994,Stop Loss,13,2,True
2025-03-04 16:20:00,2025-03-04 20:20:00,BUY,1.05297,1.06221282,1.04988906,1.06221282,0.36,924.2820000000095,332.7415200000034,11555.613359999943,Take Profit,48,3,True
