entry_time,exit_time,type,entry_price,exit_price,sl,tp,lot_size,pips,profit,balance,reason,bars_held,conditions,has_order_block
2025-05-30 12:15:00,2025-05-30 13:55:00,SELL,3301.821,3279.1159285714284,3309.389357142857,3279.1159285714284,0.09,22705.0714285715,204.3456428571435,7114.245601000307,Take Profit,20,3,False
2025-05-30 14:05:00,2025-05-30 14:40:00,BUY,3283.285,3273.617178571428,3273.617178571428,3312.288464285715,0.07,-9667.821428571642,-67.6747500000015,7046.570851000306,Stop Loss,7,3,False
2025-05-30 14:40:00,2025-06-01 22:05:00,BUY,3278.815,3299.4975880000006,3271.920804,3299.4975880000006,0.1,20682.588000000578,206.82588000000578,7253.396731000312,Take Profit,76,2,True
2025-06-01 22:05:00,2025-06-01 22:20:00,BUY,3308.303,3303.860642857143,3303.860642857143,3321.630071428571,0.16,-4442.357142856963,-71.07771428571141,7182.3190167146,Stop Loss,3,2,False
2025-06-01 22:35:00,2025-06-02 05:40:00,BUY,3304.047,3320.5266428571426,3298.553785714286,3320.5266428571426,0.13,16479.642857142608,214.2353571428539,7396.554373857454,Take Profit,85,2,False
2025-06-02 05:55:00,2025-06-02 06:05:00,SELL,3323.704,3327.613535714286,3327.613535714286,3311.975392857142,0.19,-3909.535714285994,-74.28117857143388,7322.27319528602,Stop Loss,2,2,False
2025-06-02 06:50:00,2025-06-02 13:40:00,BUY,3340.915,3365.955712,3332.568096,3365.955712,0.09,25040.711999999985,225.36640799999986,7547.63960328602,Take Profit,82,2,True
2025-06-02 14:05:00,2025-06-02 14:15:00,SELL,3369.999,3377.6274642857143,3377.6274642857143,3347.1136071428564,0.1,-7628.464285714472,-76.28464285714472,7471.3549604288755,Stop Loss,2,2,False
2025-06-02 14:20:00,2025-06-03 01:15:00,BUY,3373.174,3366.187443,3366.187443,3394.1336710000005,0.11,-6986.557000000175,-76.85212700000193,7394.502833428874,Stop Loss,119,2,True
2025-06-03 01:20:00,2025-06-03 03:40:00,BUY,3366.572,3360.8241071428574,3360.8241071428574,3383.815678571428,0.13,-5747.892857142688,-74.72260714285494,7319.780226286019,Stop Loss,28,2,False
2025-06-03 03:45:00,2025-06-03 05:35:00,BUY,3362.46,3356.892,3356.892,3379.1640000000007,0.13,-5568.000000000211,-72.38400000000274,7247.396226286016,Stop Loss,22,2,False
2025-06-03 05:40:00,2025-06-03 06:40:00,BUY,3360.791,3356.9874285714286,3356.9874285714286,3372.201714285715,0.19,-3803.5714285715585,-72.26785714285961,7175.128369143156,Stop Loss,12,3,False
2025-06-03 06:50:00,2025-06-03 12:05:00,BUY,3357.239,3351.735392857143,3351.735392857143,3373.7498214285715,0.13,-5503.607142857163,-71.54689285714312,7103.581476286014,Stop Loss,63,2,False
